topic,link,domain,published_date,title,lang,cleaned_title,sentiment_score,sentiment
TECHNOLOGY,https://bloody-disgusting.com/video-games/3626185/resident-evil-3-remake-sells-2-7-million-first-three-months-lags-behind-resident-evil-2-sales/,bloody-disgusting.com,2020-08-04 11:46:12,"'Resident Evil 3' Remake Sells 2.7 Million in First Three Months, But Lags Behind 'Resident Evil 2' Sales",en,resident evil 3 remake sells 27 million in first three months but lags behind resident evil 2 sales,-0.9194,Negative
TECHNOLOGY,https://phonemantra.com/high-quality-renders-do-not-leave-any-secrets-in-the-appearance-of-samsung-galaxy-s20-fan-edition/,phonemantra.com,2020-08-16 07:22:00,High-quality renders do not leave any secrets in the appearance of Samsung Galaxy S20 Fan Edition,en,highquality renders do not leave any secrets in the appearance of samsung galaxy s20 fan edition,0.3502,Positive
HEALTH,https://uk.sports.yahoo.com/news/brazilian-billionaire-lemann-leads-initiative-231755908.html,uk.sports.yahoo.com,2020-08-07 23:17:00,Brazilian billionaire Lemann leads initiative to build COVID-19 vaccine factory,en,brazilian billionaire lemann leads initiative to build covid19 vaccine factory,0.0,Neutral
TECHNOLOGY,http://www.koreaherald.com/view.php?ud=20200806000788,koreaherald.com,2020-08-10 01:01:00,[Graphic News] Mobile game sales hit record high in H1,en,graphic news mobile game sales hit record high in h1,0.0,Neutral
TECHNOLOGY,https://aithority.com/cognitive-science/voice/sony-electronics-launches-the-next-generation-of-industry-leading-noise-canceling/,aithority.com,2020-08-07 16:43:00,Sony Electronics Launches the Next Generation of Industry-Leading Noise,en,sony electronics launches the next generation of industryleading noise,0.0,Neutral
TECHNOLOGY,https://www.digitaltrends.com/sound-bar-reviews/polk-audio-signa-s3-review/,digitaltrends.com,2020-08-07 13:00:00,"Polk Audio Signa S3 Review: Quality Bar, Steep Competition",en,polk audio signa s3 review quality bar steep competition,0.0,Neutral
TECHNOLOGY,https://www.thesouthafrican.com/technology/us-sanctions-huawei-tech-manufacturing-17-august/,thesouthafrican.com,2020-08-17 13:43:30,US sanctions prevent Huawei from accessing tech and manufacturing,en,us sanctions prevent huawei from accessing tech and manufacturing,0.0258,Neutral
HEALTH,https://www.bbc.com/news/uk-northern-ireland-53668175,bbc.com,2020-08-06 05:38:26,Coronavirus: Surge in post-lockdown car sales in NI,en,coronavirus surge in postlockdown car sales in ni,0.0,Neutral
TECHNOLOGY,https://www.businesstimes.com.sg/technology/samsung-upgrades-folding-smartphone-in-bid-to-rev-up-sales,businesstimes.com.sg,2020-08-06 21:50:00,Samsung upgrades folding smartphone in bid to rev up sales,en,samsung upgrades folding smartphone in bid to rev up sales,0.0,Neutral
HEALTH,https://www.deccanherald.com/science-and-environment/scientists-map-body-wide-production-of-protein-with-important-role-in-covid-19-870136.html,deccanherald.com,2020-08-06 06:24:54,Scientists map body-wide production of protein with 'important role' in Covid-19,en,scientists map bodywide production of protein with important role in covid19,0.2023,Positive
HEALTH,https://theprovince.com/news/world/industry-body-calls-russian-covid-19-vaccine-a-pandoras-box/wcm/993a895d-8756-4e48-b056-942413b857e9,theprovince.com,2020-08-10 20:40:51,Industry body calls Russian COVID-19 vaccine a Pandora’s box,en,industry body calls russian covid19 vaccine a pandoras box,0.0,Neutral
TECHNOLOGY,https://finance.yahoo.com/news/auto-tune-subscription-brings-professional-164600082.html,finance.yahoo.com,2020-08-17 16:46:00,New Auto-Tune® Subscription Brings Professional Quality Vocal Production Tools to the Masses,en,new autotune subscription brings professional quality vocal production tools to the masses,0.0,Neutral
TECHNOLOGY,https://www.irishtimes.com/business/technology/pandemic-boost-for-nintendo-as-covid-19-drives-switch-sales-1.4323613,irishtimes.com,2020-08-06 08:22:49,Pandemic boost for Nintendo as Covid-19 drives Switch sales,en,pandemic boost for nintendo as covid19 drives switch sales,0.4019,Positive
TECHNOLOGY,https://phonemantra.com/the-date-of-the-start-of-sales-of-inexpensive-motherboards-for-ryzen-on-the-amd-a520-chipset-has-been-announced/,phonemantra.com,2020-08-16 07:26:00,The date of the start of sales of inexpensive motherboards for Ryzen on the AMD A520 chipset has been announced,en,the date of the start of sales of inexpensive motherboards for ryzen on the amd a520 chipset has been announced,0.0,Neutral
HEALTH,http://www.xinhuanet.com/english/2020-08/13/c_139288609.htm,xinhuanet.com,2020-08-13 15:48:10,Israel begins mass production of innovative sticker for surgical mask protection | English.news.cn,en,israel begins mass production of innovative sticker for surgical mask protection  englishnewscn,0.4404,Positive
TECHNOLOGY,https://www.androidcentral.com/all-new-cortex-x-exynos-chip-will-supercharge-industry,androidcentral.com,2020-08-12 19:07:23,Samsung's plan to supercharge its Exynos chips is exactly what the mobile industry needs,en,samsungs plan to supercharge its exynos chips is exactly what the mobile industry needs,0.0,Neutral
TECHNOLOGY,https://www.indiatvnews.com/technology/news-wechat-ban-in-the-us-could-dip-iphone-sales-globally-know-what-is-it-641273,indiatvnews.com,2020-08-11 08:32:01,iPhone sales globally said to decline by up to 30% due to WeChat ban in the US: Know how,en,iphone sales globally said to decline by up to 30 due to wechat ban in the us know how,-0.5574,Negative
HEALTH,https://en.brinkwire.com/us/marijuana-sales-in-illinois-have-spiked-during-the-coronavirus-pandemic/,en.brinkwire.com,2020-08-09 22:07:30,Marijuana sales in Illinois have spiked during the coronavirus pandemic,en,marijuana sales in illinois have spiked during the coronavirus pandemic,0.0,Neutral
TECHNOLOGY,https://www.macrumors.com/2020/08/12/iphone-lens-supplier-refutes-kuo-report/,macrumors.com,2020-08-12 13:43:00,"iPhone Camera Lens Supplier Refutes Kuo Report on Quality Issues, Says Production Still Running Without...",en,iphone camera lens supplier refutes kuo report on quality issues says production still running without,0.0,Neutral
TECHNOLOGY,https://techcrunch.com/2020/08/10/u-s-gaming-industry-records-another-excellent-quarter-as-pandemic-fuels-sales/,techcrunch.com,2020-08-10 14:08:57,U.S. gaming industry records another excellent quarter as pandemic fuels sales,en,us gaming industry records another excellent quarter as pandemic fuels sales,0.5719,Positive
TECHNOLOGY,https://www.just-style.com/comment/burberry-trials-social-retail-in-china_id139383.aspx,just-style.com,2020-08-14 12:05:13,Burberry trials social retail in China | Apparel Industry Comment,en,burberry trials social retail in china  apparel industry comment,0.0,Neutral
TECHNOLOGY,https://swarajyamag.com/insta/apples-key-contract-manufacturer-foxconn-begins-recruitment-drive-to-ramp-up-iphone-12-production,swarajyamag.com,2020-08-11 01:53:00,Apple's Key Contract Manufacturer Foxconn Begins Recruitment Drive To Ramp Up iPhone 12 Production,en,apples key contract manufacturer foxconn begins recruitment drive to ramp up iphone 12 production,0.0,Neutral
TECHNOLOGY,https://www.scmp.com/tech/big-tech/article/3097045/us-smartphone-shipments-11-cent-second-quarter-chinese-makers-resume,scmp.com,2020-08-12 06:29:43,US smartphone market bounces back as China resumes production,en,us smartphone market bounces back as china resumes production,0.0,Neutral
TECHNOLOGY,https://www.digitaltrends.com/gaming/video-game-second-quarter-sales/,digitaltrends.com,2020-08-10 18:17:00,Video game industry continues success with massive second quarter,en,video game industry continues success with massive second quarter,0.5719,Positive
HEALTH,https://www.thesundaily.my/business/world-s-top-five-oil-giants-cut-value-of-assets-by-nearly-us-50-billion-slash-production-rates-EG3392521,thesundaily.my,2020-08-09 13:29:00,"World's top five oil giants cut value of assets by nearly US$50 billion, slash production rates",en,worlds top five oil giants cut value of assets by nearly us50 billion slash production rates,0.1779,Positive
TECHNOLOGY,https://www.travelmarketreport.com/articles/How-Can-the-Industry-Overcome-the-Biggest-Barriers-to-Travels-Return,travelmarketreport.com,2020-08-17 13:47:19,How Can the Industry Overcome the Biggest Barriers to Travel's Return?,en,how can the industry overcome the biggest barriers to travels return,0.0,Neutral
HEALTH,https://www.investmentmagazine.com.au/2020/08/local-super-industry-leading-the-world-on-mental-health-during-covid-19/,investmentmagazine.com.au,2020-08-17 01:57:48,Local super industry leading the world on mental health during Covid-19,en,local super industry leading the world on mental health during covid19,0.5994,Positive
HEALTH,https://af.reuters.com/article/worldNews/idAFKCN2522ST,af.reuters.com,2020-08-06 18:15:00,Ireland says rise in COVID-19 reproduction rate 'a serious concern',en,ireland says rise in covid19 reproduction rate a serious concern,-0.0772,Neutral
SCIENCE,https://www.news-medical.net/news/20200817/Biotechnological-production-of-a-natural-antibiotic.aspx,news-medical.net,2020-08-18 00:03:00,Biotechnological production of a natural antibiotic,en,biotechnological production of a natural antibiotic,0.3612,Positive
TECHNOLOGY,https://www.news18.com/news/movies/take-two-raises-sales-forecast-as-videogames-get-stay-at-home-boost-2-2755549.html,news18.com,2020-08-04 05:35:09,Take-Two raises sales forecast as videogames get stay-at-home boost,en,taketwo raises sales forecast as videogames get stayathome boost,0.4019,Positive
TECHNOLOGY,https://www.pistonheads.com/news/ph-germancars/first-bmw-m3-touring-confirmed-for-production-/42921,pistonheads.com,2020-08-12 16:03:52,First BMW M3 Touring confirmed for production!,en,first bmw m3 touring confirmed for production,0.0,Neutral
TECHNOLOGY,https://www.pushsquare.com/news/2020/08/uk_sales_charts_ghost_of_tsushima_takes_top_spot_for_a_third_week,pushsquare.com,2020-08-03 09:45:00,UK Sales Charts: Ghost of Tsushima Takes Top Spot for a Third Week,en,uk sales charts ghost of tsushima takes top spot for a third week,-0.128,Negative
TECHNOLOGY,https://www.patentlyapple.com/patently-apple/2020/08/apple-was-the-only-smartphone-vendor-in-q2-20-to-post-growth-in-the-us-market-due-to-strong-sales-of-their-entry-iphone-11.html,patentlyapple.com,2020-08-12 19:26:33,Apple was the only Smartphone Vendor in Q2-20 to post Growth in the U.S. Market due to Strong Sales of their entry iPhone 11 Model,en,apple was the only smartphone vendor in q220 to post growth in the us market due to strong sales of their entry iphone 11 model,0.7096,Positive
HEALTH,https://www.just-drinks.com/news/wine-industry-counters-us-alcohol-guideline-revision-recommendation_id131608.aspx,just-drinks.com,2020-08-14 16:46:26,Wine industry counters US alcohol guideline revision recommendation,en,wine industry counters us alcohol guideline revision recommendation,0.0,Neutral
HEALTH,https://www.businesswire.com/news/home/20200817005625/en/Executive-War-College-Discusses-Distress-Clinical-Laboratory,businesswire.com,2020-08-17 19:10:00,Executive War College Discusses Distress of Clinical Laboratory Industry as COVID-19 Pandemic Disrupts Supply Chain and Health Insurers Deny Payment for SARS-CoV-2 Tests,en,executive war college discusses distress of clinical laboratory industry as covid19 pandemic disrupts supply chain and health insurers deny payment for sarscov2 tests,-0.8658,Negative
HEALTH,https://www.reuters.com/article/us-health-coronavirus-ireland/ireland-says-rise-in-covid-19-reproduction-rate-a-serious-concern-idUSKCN2522SY,reuters.com,2020-08-06 18:14:00,Ireland says rise in COVID-19 reproduction rate 'a serious concern',en,ireland says rise in covid19 reproduction rate a serious concern,-0.0772,Neutral
TECHNOLOGY,https://finance.yahoo.com/news/free-time-fortnite-game-industry-changed-forever-154644087.html,finance.yahoo.com,2020-08-11 15:46:00,Free time and ‘Fortnite’: How coronavirus changed the video game industry forever,en,free time and fortnite how coronavirus changed the video game industry forever,0.5106,Positive
TECHNOLOGY,https://phonemantra.com/the-worlds-first-smartphone-with-a-sub-screen-camera-surprised-users-with-the-quality-of-images/,phonemantra.com,2020-08-13 04:48:00,The world's first smartphone with a sub-screen camera surprised users with the quality of images,en,the worlds first smartphone with a subscreen camera surprised users with the quality of images,0.2263,Positive
TECHNOLOGY,https://www.sammobile.com/news/samsung-bags-chip-manufacturing-orders-cisco-google/,sammobile.com,2020-08-04 03:35:13,Samsung bags chip manufacturing orders from Cisco and Google,en,samsung bags chip manufacturing orders from cisco and google,0.0,Neutral
HEALTH,https://www.msn.com/en-gb/news/coronavirus/coronavirus-outbreak-at-sandwich-factory-as-nearly-300-staff-test-positive/ar-BB17Voeq?li=BBoPWjQ,msn.com,2020-08-13 15:13:00,Coronavirus outbreak at sandwich factory as nearly 300 staff test positive,en,coronavirus outbreak at sandwich factory as nearly 300 staff test positive,0.5574,Positive
TECHNOLOGY,https://www.gizchina.com/2020/08/17/redmi-98-inch-smart-tv-max-sales-1660-units-sold-in-a-day/,gizchina.com,2020-08-17 11:07:13,"Redmi 98-inch Smart TV Max Sales: 1,660 Units Sold in A Day",en,redmi 98inch smart tv max sales 1660 units sold in a day,0.4019,Positive
HEALTH,http://www.ecns.cn/news/sci-tech/2020-08-07/detail-ifzyxfhw7469699.shtml,ecns.cn,2020-08-07 06:38:53,World's first COVID-19 vaccine production line wins approval,en,worlds first covid19 vaccine production line wins approval,0.7783,Positive
TECHNOLOGY,https://www.techradar.com/in/news/what-would-the-union-of-arm-and-nvidia-mean-for-the-mobile-industry,techradar.com,2020-08-08 13:00:00,What would the union of ARM and Nvidia mean for the mobile industry?,en,what would the union of arm and nvidia mean for the mobile industry,0.0,Neutral
WORLD,https://en.yabiladi.com/articles/details/97708/morocco-s-automotive-industry-leads-mena.html,en.yabiladi.com,2020-08-13 14:10:16,Morocco's automotive industry leads MENA market despite Covid-19 related losses,en,moroccos automotive industry leads mena market despite covid19 related losses,0.3089,Positive
TECHNOLOGY,https://www.gamespot.com/articles/take-two-ceo-says-70-ps5-and-xbox-series-x-game-pr/1100-6480492/,gamespot.com,2020-08-03 20:45:00,"Take-Two CEO Says $70 PS5 And Xbox Series X Game Prices Justified By ""Extraordinary Quality""",en,taketwo ceo says 70 ps5 and xbox series x game prices justified by extraordinary quality,0.4019,Positive
TECHNOLOGY,https://www.notebookcheck.net/Huawei-s-chipset-production-lines-are-to-close-in-September-2020.484869.0.html,notebookcheck.net,2020-08-09 23:21:47,Huawei's chipset production lines are to close in September 2020,en,huaweis chipset production lines are to close in september 2020,0.0,Neutral
TECHNOLOGY,https://www.barrons.com/articles/apple-iphone-china-wechat-ban-app-store-trump-51597075991?mod=hp_INTERESTS_economy-and-policy&refsec=hp_INTERESTS_economy-and-policy,barrons.com,2020-08-10 16:16:00,Why Apple iPhone Sales Could Take a Huge Hit From a WeChat Ban,en,why apple iphone sales could take a huge hit from a wechat ban,-0.3182,Negative
HEALTH,https://www.rte.ie/news/coronavirus/2020/0806/1157782-factory-leinster-covid/,rte.ie,2020-08-06 21:25:11,80 virus cases at Kildare factory - many asymptomatic,en,80 virus cases at kildare factory  many asymptomatic,0.0,Neutral
HEALTH,https://www.theguardian.com/world/live/2020/aug/13/uk-coronavirus-live-news-covid-19-latest-updates,theguardian.com,2020-08-13 17:10:00,UK coronavirus live: trial of new contact-tracing app starts; outbreak at East Midlands sandwich factory,en,uk coronavirus live trial of new contacttracing app starts outbreak at east midlands sandwich factory,0.0,Neutral
WORLD,https://www.ippmedia.com/en/business/africa%E2%80%99s-29-billion-tourism-industry-threatened-corona-virus,ippmedia.com,2020-08-07 18:11:15,Africa's $29 billion tourism industry threatened by corona virus,en,africas 29 billion tourism industry threatened by corona virus,-0.4588,Negative
TECHNOLOGY,https://9to5mac.com/2020/08/07/iphone-12-camera-lenses/,9to5mac.com,2020-08-07 11:21:00,Kuo: Quality problem with iPhone 12 camera lenses; non-Pro models may go on sale first,en,kuo quality problem with iphone 12 camera lenses nonpro models may go on sale first,-0.4019,Negative
HEALTH,https://extra.ie/2020/08/12/news/politics/pubs-schools-reopening-varadkar-taniaste,extra.ie,2020-08-12 18:32:01,‘Pubs are not as important as schools’ — Varadkar delivers blow to events and entertainment industry,en,pubs are not as important as schools  varadkar delivers blow to events and entertainment industry,0.2978,Positive
TECHNOLOGY,https://finance.yahoo.com/news/nintendo-reports-428-jump-profit-073216522.html,finance.yahoo.com,2020-08-06 07:32:00,Nintendo reports 428% jump in profit as Animal Crossing sales top 22 million,en,nintendo reports 428 jump in profit as animal crossing sales top 22 million,0.5719,Positive
TECHNOLOGY,https://fstoppers.com/business/best-thing-camera-industry-nikon-exit-501725,fstoppers.com,2020-08-07 18:00:12,The Best Thing for the Camera Industry Is for Nikon to Exit,en,the best thing for the camera industry is for nikon to exit,0.6369,Positive
HEALTH,https://www.thestar.com.my/news/world/2020/08/07/ireland-says-rise-in-covid-19-reproduction-rate-039a-serious-concern039,thestar.com.my,2020-08-06 18:18:00,Ireland says rise in COVID-19 reproduction rate 'a serious concern',en,ireland says rise in covid19 reproduction rate a serious concern,-0.0772,Neutral
HEALTH,https://www.largsandmillportnews.com/news/national-news/18629098.livingston-factory-help-produce-60-million-doses-vaccine/,largsandmillportnews.com,2020-08-05 05:14:57,Livingston factory could help produce 60 million doses of vaccine,en,livingston factory could help produce 60 million doses of vaccine,0.4019,Positive
TECHNOLOGY,https://www.dexerto.com/entertainment/dr-disrespect-calls-out-games-industry-for-repetitive-marketing-1406761,dexerto.com,2020-08-16 00:22:01,"Dr Disrespect calls out games industry for ""repetitive"" marketing",en,dr disrespect calls out games industry for repetitive marketing,-0.5859,Negative
TECHNOLOGY,https://www.gamespot.com/articles/resident-evil-7-hits-a-new-sales-milestone-and-is-/1100-6480951/,gamespot.com,2020-08-14 04:27:00,Resident Evil 7 Hits A New Sales Milestone And Is (Sort Of) Capcom's 2nd Best-Selling Game,en,resident evil 7 hits a new sales milestone and is sort of capcoms 2nd bestselling game,-0.6597,Negative
TECHNOLOGY,https://www.engadget.com/nintendo-switch-hardware-software-sales-double-year-over-year-075033312.html,engadget.com,2020-08-06 07:50:50,Nintendo Switch hardware and software sales exploded over spring,en,nintendo switch hardware and software sales exploded over spring,0.0,Neutral
